X,Y,Z
196.173,197.023,-0.675
196.671,196.639,-0.675
196.457,196.384,-0.675
-196.671,196.639,-0.675
-196.173,197.023,-0.675
-195.985,196.908,-0.675
-195.765,196.465,-0.675
-195.462,195.876,-0.675
-195.183,194.639,-0.675
-195.499,-196.215,-0.675
-195.752,-195.953,-0.675
-195.945,-195.633,-0.675
-196.022,-195.296,-0.675
-195.967,-194.914,-0.675
-195.825,-194.454,-0.675
-195.218,-194.322,-0.675
195.937,-194.804,-0.675
196.019,-195.204,-0.675
195.977,-195.548,-0.675
195.809,-195.874,-0.675
195.569,-196.158,-0.675
195.272,-196.335,-0.675
195.183,-196.361,-0.675
195.462,195.876,-0.675
195.765,196.465,-0.675
195.985,196.908,-0.675
196.173,197.023,-0.675
195.975,196.537,-0.873
196.472,196.154,-0.873
196.656,195.899,-0.873
-196.472,196.154,-0.873
-195.975,196.537,-0.873
-195.788,196.418,-0.873
-195.568,195.974,-0.873
-195.265,195.384,-0.873
-194.985,194.779,-0.873
-195.301,-196.075,-0.873
-195.554,-195.814,-0.873
-195.746,-195.494,-0.873
-195.823,-195.157,-0.873
-195.767,-194.775,-0.873
-195.625,-194.315,-0.873
-195.418,-194.183,-0.873
195.737,-194.666,-0.873
195.820,-195.065,-0.873
195.779,-195.410,-0.873
195.611,-195.735,-0.873
195.371,-196.018,-0.873
195.074,-196.195,-0.873
194.985,-196.221,-0.873
195.265,195.384,-0.873
195.568,195.974,-0.873
195.788,196.418,-0.873
195.975,196.537,-0.873
196.272,195.668,-1.071
196.855,195.412,-1.071
-196.272,195.668,-1.071
-195.778,196.049,-1.071
-195.591,195.928,-1.071
-195.371,195.482,-1.071
-195.068,194.891,-1.071
-194.787,193.919,-1.071
-195.103,-195.936,-1.071
-195.356,-195.675,-1.071
-195.547,-195.356,-1.071
-195.623,-195.019,-1.071
-195.568,-194.637,-1.071
-195.425,-194.176,-1.071
-194.618,-194.044,-1.071
195.537,-194.527,-1.071
195.621,-194.927,-1.071
195.580,-195.271,-1.071
195.412,-195.596,-1.071
195.173,-195.879,-1.071
194.876,-196.055,-1.071
194.787,-196.081,-1.071
195.068,194.891,-1.071
195.371,195.482,-1.071
195.591,195.928,-1.071
195.778,196.049,-1.071
196.272,195.668,-1.071
196.073,195.181,-1.270
196.947,194.925,-1.270
-196.073,195.181,-1.270
-195.580,195.561,-1.270
-195.394,195.437,-1.270
-195.174,194.989,-1.270
-194.872,194.396,-1.270
-194.588,193.059,-1.270
-194.905,-195.796,-1.270
-195.158,-195.537,-1.270
-195.349,-195.217,-1.270
-195.424,-194.880,-1.270
-195.368,-194.498,-1.270
-195.225,-194.038,-1.270
-194.818,-193.905,-1.270
195.337,-194.389,-1.270
195.421,-194.789,-1.270
195.381,-195.133,-1.270
195.214,-195.457,-1.270
194.975,-195.739,-1.270
194.678,-195.915,-1.270
194.588,-195.941,-1.270
194.872,194.396,-1.270
195.174,194.989,-1.270
195.394,195.437,-1.270
195.580,195.561,-1.270
196.073,195.181,-1.270
195.873,194.693,-1.468
196.748,194.437,-1.468
-195.873,194.693,-1.468
-195.383,195.071,-1.468
-195.197,194.945,-1.468
-194.977,194.495,-1.468
-194.675,193.901,-1.468
-194.390,193.199,-1.468
-194.707,-195.657,-1.468
-194.959,-195.398,-1.468
-195.150,-195.079,-1.468
-195.225,-194.742,-1.468
-195.168,-194.360,-1.468
-195.025,-193.899,-1.468
-194.018,-193.767,-1.468
195.138,-194.250,-1.468
195.222,-194.650,-1.468
195.182,-194.994,-1.468
195.016,-195.319,-1.468
194.777,-195.600,-1.468
194.480,-195.775,-1.468
194.390,-195.801,-1.468
194.675,193.901,-1.468
194.977,194.495,-1.468
195.197,194.945,-1.468
195.383,195.071,-1.468
195.873,194.693,-1.468
195.674,194.204,-1.666
196.549,193.947,-1.666
-195.674,194.204,-1.666
-195.185,194.580,-1.666
-195.000,194.452,-1.666
-194.780,194.000,-1.666
-194.478,193.405,-1.666
-194.192,192.339,-1.666
-194.509,-195.517,-1.666
-194.761,-195.259,-1.666
-194.951,-194.940,-1.666
-195.026,-194.604,-1.666
-194.969,-194.221,-1.666
-194.825,-193.760,-1.666
-194.218,-193.628,-1.666
194.938,-194.112,-1.666
195.022,-194.512,-1.666
194.983,-194.856,-1.666
194.818,-195.180,-1.666
194.579,-195.461,-1.666
194.281,-195.635,-1.666
194.192,-195.661,-1.666
194.478,193.405,-1.666
194.780,194.000,-1.666
195.000,194.452,-1.666
195.185,194.580,-1.666
195.674,194.204,-1.666
195.475,193.714,-1.864
196.351,193.457,-1.864
-195.475,193.714,-1.864
-194.987,194.089,-1.864
-194.803,193.958,-1.864
-194.583,193.504,-1.864
-194.281,192.908,-1.864
-193.994,191.479,-1.864
-194.311,-195.377,-1.864
-194.563,-195.120,-1.864
-194.753,-194.802,-1.864
-194.826,-194.465,-1.864
-194.769,-194.083,-1.864
-194.625,-193.621,-1.864
-194.418,-193.489,-1.864
194.738,-193.973,-1.864
194.823,-194.374,-1.864
194.785,-194.718,-1.864
194.619,-195.041,-1.864
194.381,-195.321,-1.864
194.083,-195.495,-1.864
193.994,-195.521,-1.864
194.281,192.908,-1.864
194.583,193.504,-1.864
194.803,193.958,-1.864
194.987,194.089,-1.864
195.475,193.714,-1.864
195.275,193.223,-2.063
196.152,192.965,-2.063
-195.275,193.223,-2.063
-194.790,193.596,-2.063
-194.606,193.463,-2.063
-194.386,193.007,-2.063
-194.084,192.410,-2.063
-193.795,191.619,-2.063
-194.113,-195.238,-2.063
-194.365,-194.981,-2.063
-194.554,-194.663,-2.063
-194.627,-194.327,-2.063
-194.569,-193.944,-2.063
-194.426,-193.483,-2.063
-193.618,-193.350,-2.063
194.538,-193.834,-2.063
194.624,-194.235,-2.063
194.586,-194.579,-2.063
194.421,-194.902,-2.063
194.183,-195.182,-2.063
193.885,-195.355,-2.063
193.795,-195.381,-2.063
194.084,192.410,-2.063
