X,Y,Z
196.1728,197.0231,-0.6749
196.6709,196.6386,-0.6749
196.4573,196.3842,-0.6749
-196.6709,196.6386,-0.6749
-196.1728,197.0231,-0.6749
-195.9849,196.9075,-0.6749
-195.7645,196.4646,-0.6749
-195.4621,195.8759,-0.6749
-195.1830,194.6388,-0.6749
-195.4993,-196.2146,-0.6749
-195.7520,-195.9532,-0.6749
-195.9445,-195.6325,-0.6749
-196.0217,-195.2955,-0.6749
-195.9671,-194.9138,-0.6749
-195.8252,-194.4538,-0.6749
-195.2182,-194.3218,-0.6749
195.9367,-194.8042,-0.6749
196.0192,-195.2037,-0.6749
195.9774,-195.5480,-0.6749
195.8088,-195.8736,-0.6749
195.5687,-196.1575,-0.6749
195.2722,-196.3347,-0.6749
195.1830,-196.3612,-0.6749
195.4621,195.8759,-0.6749
195.7645,196.4646,-0.6749
195.9849,196.9075,-0.6749
196.1728,197.0231,-0.6749
195.9752,196.5365,-0.8731
196.4715,196.1536,-0.8731
196.6560,195.8988,-0.8731
-196.4715,196.1536,-0.8731
-195.9752,196.5365,-0.8731
-195.7878,196.4184,-0.8731
-195.5675,195.9738,-0.8731
-195.2652,195.3837,-0.8731
-194.9848,194.7788,-0.8731
-195.3013,-196.0751,-0.8731
-195.5539,-195.8143,-0.8731
-195.7459,-195.4940,-0.8731
-195.8225,-195.1571,-0.8731
-195.7674,-194.7754,-0.8731
-195.6252,-194.3150,-0.8731
-195.4182,-194.1830,-0.8731
195.7369,-194.6657,-0.8731
195.8198,-195.0654,-0.8731
195.7785,-195.4096,-0.8731
195.6105,-195.7349,-0.8731
195.3707,-196.0182,-0.8731
195.0741,-196.1947,-0.8731
194.9848,-196.2212,-0.8731
195.2652,195.3837,-0.8731
195.5675,195.9738,-0.8731
195.7878,196.4184,-0.8731
195.9752,196.5365,-0.8731
196.2721,195.6677,-1.0713
196.8546,195.4124,-1.0713
-196.2721,195.6677,-1.0713
-195.7776,196.0490,-1.0713
-195.5908,195.9283,-1.0713
-195.3705,195.4819,-1.0713
-195.0684,194.8906,-1.0713
-194.7865,193.9189,-1.0713
-195.1032,-195.9355,-1.0713
-195.3557,-195.6754,-1.0713
-195.5472,-195.3556,-1.0713
-195.6233,-195.0188,-1.0713
-195.5677,-194.6369,-1.0713
-195.4252,-194.1763,-1.0713
-194.6182,-194.0442,-1.0713
195.5372,-194.5271,-1.0713
195.6205,-194.9270,-1.0713
195.5797,-195.2712,-1.0713
195.4123,-195.5961,-1.0713
195.1727,-195.8788,-1.0713
194.8759,-196.0548,-1.0713
194.7865,-196.0811,-1.0713
195.0684,194.8906,-1.0713
195.3705,195.4819,-1.0713
195.5908,195.9283,-1.0713
195.7776,196.0490,-1.0713
196.2721,195.6677,-1.0713
196.0727,195.1808,-1.2696
196.9467,194.9250,-1.2696
-196.0727,195.1808,-1.2696
-195.5800,195.5605,-1.2696
-195.3938,195.4372,-1.2696
-195.1735,194.9890,-1.2696
-194.8715,194.3964,-1.2696
-194.5883,193.0589,-1.2696
-194.9052,-195.7960,-1.2696
-195.1575,-195.5365,-1.2696
-195.3486,-195.2171,-1.2696
-195.4241,-194.8804,-1.2696
-195.3681,-194.4984,-1.2696
-195.2253,-194.0376,-1.2696
-194.8182,-193.9054,-1.2696
195.3374,-194.3886,-1.2696
195.4211,-194.7886,-1.2696
195.3810,-195.1328,-1.2696
195.2140,-195.4573,-1.2696
194.9746,-195.7394,-1.2696
194.6777,-195.9149,-1.2696
194.5883,-195.9411,-1.2696
194.8715,194.3964,-1.2696
195.1735,194.9890,-1.2696
195.3938,195.4372,-1.2696
195.5800,195.5605,-1.2696
196.0727,195.1808,-1.2696
195.8733,194.6929,-1.4678
196.7480,194.4366,-1.4678
-195.8733,194.6929,-1.4678
-195.3825,195.0710,-1.4678
-195.1967,194.9451,-1.4678
-194.9765,194.4951,-1.4678
-194.6747,193.9012,-1.4678
-194.3901,193.1989,-1.4678
-194.7072,-195.6565,-1.4678
-194.9594,-195.3976,-1.4678
-195.1499,-195.0787,-1.4678
-195.2249,-194.7421,-1.4678
-195.1684,-194.3599,-1.4678
-195.0254,-193.8988,-1.4678
-194.0182,-193.7666,-1.4678
195.1376,-194.2500,-1.4678
195.2218,-194.6503,-1.4678
195.1822,-194.9944,-1.4678
195.0157,-195.3186,-1.4678
194.7766,-195.6001,-1.4678
194.4796,-195.7749,-1.4678
194.3901,-195.8011,-1.4678
194.6747,193.9012,-1.4678
194.9765,194.4951,-1.4678
195.1967,194.9451,-1.4678
195.3825,195.0710,-1.4678
195.8733,194.6929,-1.4678
195.6739,194.2040,-1.6660
196.5493,193.9472,-1.6660
-195.6739,194.2040,-1.6660
-195.1849,194.5804,-1.6660
-194.9997,194.4520,-1.6660
-194.7795,194.0002,-1.6660
-194.4778,193.4051,-1.6660
-194.1918,192.3390,-1.6660
-194.5091,-195.5169,-1.6660
-194.7612,-195.2587,-1.6660
-194.9513,-194.9402,-1.6660
-195.0256,-194.6037,-1.6660
-194.9687,-194.2214,-1.6660
-194.8254,-193.7601,-1.6660
-194.2182,-193.6278,-1.6660
194.9379,-194.1115,-1.6660
195.0224,-194.5119,-1.6660
194.9834,-194.8560,-1.6660
194.8175,-195.1798,-1.6660
194.5786,-195.4607,-1.6660
194.2814,-195.6350,-1.6660
194.1918,-195.6610,-1.6660
194.4778,193.4051,-1.6660
194.7795,194.0002,-1.6660
194.9997,194.4520,-1.6660
195.1849,194.5804,-1.6660
195.6739,194.2040,-1.6660
195.4745,193.7141,-1.8643
196.3506,193.4568,-1.8643
-195.4745,193.7141,-1.8643
-194.9873,194.0889,-1.8643
-194.8026,193.9578,-1.8643
-194.5826,193.5043,-1.8643
-194.2810,192.9079,-1.8643
-193.9936,191.4790,-1.8643
-194.3111,-195.3774,-1.8643
-194.5630,-195.1198,-1.8643
-194.7526,-194.8018,-1.8643
-194.8264,-194.4654,-1.8643
-194.7691,-194.0829,-1.8643
-194.6254,-193.6213,-1.8643
-194.4182,-193.4890,-1.8643
194.7381,-193.9729,-1.8643
194.8231,-194.3735,-1.8643
194.7845,-194.7176,-1.8643
194.6192,-195.0411,-1.8643
194.3805,-195.3213,-1.8643
194.0833,-195.4951,-1.8643
193.9936,-195.5210,-1.8643
194.2810,192.9079,-1.8643
194.5826,193.5043,-1.8643
194.8026,193.9578,-1.8643
194.9873,194.0889,-1.8643
195.4745,193.7141,-1.8643
195.2751,193.2232,-2.0625
196.1519,192.9654,-2.0625
-195.2751,193.2232,-2.0625
-194.7897,193.5963,-2.0625
-194.6056,193.4626,-2.0625
-194.3856,193.0073,-2.0625
-194.0842,192.4096,-2.0625
-193.7954,191.6191,-2.0625
-194.1130,-195.2379,-2.0625
-194.3649,-194.9809,-2.0625
-194.5540,-194.6633,-2.0625
-194.6272,-194.3270,-2.0625
-194.5694,-193.9444,-2.0625
-194.4255,-193.4826,-2.0625
-193.6182,-193.3501,-2.0625
194.5384,-193.8344,-2.0625
194.6237,-194.2352,-2.0625
194.5858,-194.5792,-2.0625
194.4209,-194.9023,-2.0625
194.1825,-195.1819,-2.0625
193.8851,-195.3551,-2.0625
193.7954,-195.3809,-2.0625
194.0842,192.4096,-2.0625
194.3856,193.0073,-2.0625
194.6056,193.4626,-2.0625
194.7897,193.5963,-2.0625
195.2751,193.2232,-2.0625
195.0757,192.7313,-2.2607
195.9532,192.4730,-2.2607
-195.0757,192.7313,-2.2607
-194.5922,193.1027,-2.2607
-194.4086,192.9664,-2.2607
-194.1886,192.5094,-2.2607
-193.8874,191.9104,-2.2607
-193.5971,190.7591,-2.2607
-193.9150,-195.0983,-2.2607
-194.1667,-194.8419,-2.2607
-194.3553,-194.5249,-2.2607
-194.4280,-194.1887,-2.2607
-194.3697,-193.8059,-2.2607
-194.2256,-193.3439,-2.2607
-193.8182,-193.2113,-2.2607
194.3386,-193.6958,-2.2607
194.4244,-194.0968,-2.2607
194.3869,-194.4409,-2.2607
194.2227,-194.7635,-2.2607
193.9844,-195.0426,-2.2607
193.6869,-195.2152,-2.2607
193.5971,-195.2409,-2.2607
193.8874,191.9104,-2.2607
194.1886,192.5094,-2.2607
194.4086,192.9664,-2.2607
194.5922,193.1027,-2.2607
195.0757,192.7313,-2.2607
194.8763,192.2383,-2.4590
195.7545,191.9795,-2.4590
-194.8763,192.2383,-2.4590
-194.3946,192.6080,-2.4590
-194.2116,192.4692,-2.4590
-193.9917,192.0103,-2.4590
-193.6906,191.4101,-2.4590
-193.3989,189.8991,-2.4590
-193.7169,-194.9588,-2.4590
-193.9685,-194.7030,-2.4590
-194.1567,-194.3864,-2.4590
-194.2287,-194.0503,-2.4590
-194.1701,-193.6674,-2.4590
-194.0256,-193.2051,-2.4590
-193.0182,-193.0725,-2.4590
194.1389,-193.5573,-2.4590
194.2250,-193.9584,-2.4590
194.1882,-194.3025,-2.4590
194.0244,-194.6248,-2.4590
193.7864,-194.9032,-2.4590
193.4887,-195.0753,-2.4590
193.3989,-195.1009,-2.4590
193.6906,191.4101,-2.4590
193.9917,192.0103,-2.4590
194.2116,192.4692,-2.4590
194.3946,192.6080,-2.4590
194.8763,192.2383,-2.4590
194.6769,191.7443,-2.6572
195.5558,191.4850,-2.6572
-194.6769,191.7443,-2.6572
-194.1971,192.1124,-2.6572
-194.0146,191.9709,-2.6572
-193.7947,191.5103,-2.6572
-193.4938,190.9088,-2.6572
-193.2007,190.0392,-2.6572
-193.5189,-194.8193,-2.6572
-193.7703,-194.5641,-2.6572
-193.9580,-194.2480,-2.6572
-194.0295,-193.9120,-2.6572
-193.9704,-193.5289,-2.6572
-193.8257,-193.0664,-2.6572
-193.2182,-192.9337,-2.6572
193.9391,-193.4187,-2.6572
194.0257,-193.8200,-2.6572
193.9893,-194.1641,-2.6572
193.8261,-194.4860,-2.6572
193.5883,-194.7638,-2.6572
193.2906,-194.9353,-2.6572
193.2007,-194.9608,-2.6572
193.4938,190.9088,-2.6572
193.7947,191.5103,-2.6572
194.0146,191.9709,-2.6572
194.1971,192.1124,-2.6572
194.6769,191.7443,-2.6572
194.4775,191.2493,-2.8554
195.3572,190.9895,-2.8554
-194.4775,191.2493,-2.8554
-193.9995,191.6156,-2.8554
-193.8175,191.4716,-2.8554
-193.5978,191.0092,-2.8554
-193.2970,190.4064,-2.8554
-193.0024,189.1792,-2.8554
-193.3208,-194.6797,-2.8554
-193.5722,-194.4252,-2.8554
-193.7594,-194.1095,-2.8554
-193.8303,-193.7736,-2.8554
-193.7707,-193.3904,-2.8554
-193.6257,-192.9276,-2.8554
-193.4182,-192.7949,-2.8554
193.7394,-193.2802,-2.8554
193.8263,-193.6817,-2.8554
193.7905,-194.0257,-2.8554
193.6279,-194.3473,-2.8554
193.3903,-194.6244,-2.8554
193.0924,-194.7954,-2.8554
193.0024,-194.8208,-2.8554
193.2970,190.4064,-2.8554
193.5978,191.0092,-2.8554
193.8175,191.4716,-2.8554
193.9995,191.6156,-2.8554
194.4775,191.2493,-2.8554
194.2781,190.7532,-3.0537
195.1584,190.4929,-3.0537
-194.2781,190.7532,-3.0537
-193.8019,191.1178,-3.0537
-193.6205,190.9712,-3.0537
-193.4008,190.5070,-3.0537
-193.1003,189.9030,-3.0537
-192.8042,188.3193,-3.0537
-193.1228,-194.5402,-3.0537
-193.3740,-194.2863,-3.0537
-193.5607,-193.9710,-3.0537
-193.6311,-193.6353,-3.0537
-193.5710,-193.2519,-3.0537
-193.4258,-192.7889,-3.0537
-192.6182,-192.6561,-3.0537
193.5396,-193.1416,-3.0537
193.6269,-193.5433,-3.0537
193.5917,-193.8873,-3.0537
193.4296,-194.2085,-3.0537
193.1922,-194.4851,-3.0537
192.8942,-194.6555,-3.0537
192.8042,-194.6807,-3.0537
193.1003,189.9030,-3.0537
193.4008,190.5070,-3.0537
193.6205,190.9712,-3.0537
193.8019,191.1178,-3.0537
194.2781,190.7532,-3.0537
194.0787,190.2561,-3.2519
194.9597,189.9953,-3.2519
-194.0787,190.2561,-3.2519
-193.6044,190.6190,-3.2519
-193.4235,190.4697,-3.2519
-193.2039,190.0038,-3.2519
-192.9035,189.3985,-3.2519
-192.6059,188.4593,-3.2519
-192.9247,-194.4007,-3.2519
-193.1758,-194.1474,-3.2519
-193.3620,-193.8326,-3.2519
-193.4318,-193.4969,-3.2519
-193.3714,-193.1134,-3.2519
-193.2258,-192.6502,-3.2519
-192.8182,-192.5173,-3.2519
193.3399,-193.0030,-3.2519
193.4276,-193.4049,-3.2519
193.3929,-193.7489,-3.2519
193.2313,-194.0697,-3.2519
192.9942,-194.3457,-3.2519
192.6960,-194.5155,-3.2519
192.6059,-194.5407,-3.2519
192.9035,189.3985,-3.2519
193.2039,190.0038,-3.2519
193.4235,190.4697,-3.2519
193.6044,190.6190,-3.2519
194.0787,190.2561,-3.2519
193.8793,189.7579,-3.4502
194.7610,189.4966,-3.4502
-193.8793,189.7579,-3.4502
-193.4069,190.1191,-3.4502
-193.2265,189.9672,-3.4502
-193.0070,189.4996,-3.4502
